"Eh bien !","Je m’y rendrai, toujours exempt d’effroi."
"Dom jouan, prends ce siège, et puisque aucune crainte ne trouble ton esprit, et que ton âme atteinte d’un penser orgueilleux adresse ici tes pas, commence à profiter de ton dernier repas.","Commence à voir aussi que rien ne m’intimide, que je suis mon caprice et que j’en fais mon guide."
"Fermez-vous bien, mes yeux, soyons sourds, mon oreille, en ce lieu périlleux.","Tu ne viendras pas ?"
"Voilà les mets qu’on mange à la table des morts.","Ne te rebute pas, s’ils ne sont délectables, je donne ce que j’ai."
"Je suis mort, il lui faut obéir.","Connais-tu bien quelle est l’âme de la nature, celui qui donne l’être à toute créature ?"
"Sais-tu que sa vertu de moment en moment rend la vie à ton corps comme le mouvement, que tu n’as de pouvoir qu’autant qu’un dieu t’en donne et qu’on doit tout hommage à sa sainte personne ?","Que me viens-tu prôner ?"
"Que me viens-tu prôner ?","Il n’est pas de saison de me catéchiser, j’aurais peu de raison, si je ne connaissais l’auteur de toutes choses ; je sais bien que ses mains sont les premières causes des ouvrages qu’on voit, qu’on admire ici-bas."
"Sais-tu bien qu’à présent ce dieu veut ton trépas ?","Il m’a donné l’esprit, l’âme, la connaissance, la force, la raison, le cœur, l’intelligence, et tout cela pour vaincre et braver les destins, et non pour affliger l’ouvrage de ses mains."
"Toutefois il n’est point d’âme si criminelle qu’un repentir ne mette à la gloire éternelle, si tu veux éviter des tourments éternels, demande au ciel pardon de tes faits criminels.","Ne parle point du ciel, qu’il punisse ou pardonne."
"Ne parle point du ciel, qu’il punisse ou pardonne.","Je ne me repens point, il n’est rien qui m’étonne, et quiconque a le cœur aussi bon que le mien ne peut s’épouvanter pour toi qui n’est qu’un rien."
"M’oses-tu proposer cette action infâme ?","Je me repentirais pour prolonger ma trame !"
"Je me repentirais pour prolonger ma trame !","Mon destin est écrit, même dès le berceau, et l’endroit est marqué qui fera mon tombeau."
"Mon destin est écrit, même dès le berceau, et l’endroit est marqué qui fera mon tombeau.","Si je voyais ici ma sépulture ouverte et qu’un sot repentir pût différer ma perte, j’affronterais la mort, je ne le ferais pas, et voilà ce qui peut retarder mon trépas : oui, ce fer armerait ma main contre un tonnerre."
"Si je voyais ici ma sépulture ouverte et qu’un sot repentir pût différer ma perte, j’affronterais la mort, je ne le ferais pas, et voilà ce qui peut retarder mon trépas : oui, ce fer armerait ma main contre un tonnerre.","Si le ciel m’attaquait, je lui ferais la guerre, tout au moins je mourrais dans cette volonté."
"Tu n’appréhendes point un châtiment sévère ?","Ainsi donc, spectre affreux, tu traites un vivant d’injures, de menaces ?"
"Ah !","C’est trop endurer, depuis que tu m’irrites !"
"Esprits, je vous conjure avec soumission, de me vouloir traiter avec compassion.","As-tu perdu le sens, qu’est-ce que tu veux dire ?"
"Il me vient d’arriver ce qu’on n’a jamais vu, ce qu’on ne peut rêver : mon maître est abîmé.","Je sais que, pour son crime, contre lui vous avez un courroux légitime, mais il est bien puni."
"Je sais que, pour son crime, contre lui vous avez un courroux légitime, mais il est bien puni.","Si donc quelque tourment m’est ordonné, je veux l’endurer constamment."
"Il nous a dit sa perte, et la chose est croyable, pour le pouvoir tenir encor plus véritable, il nous en va conter l’histoire en un moment ; cependant vous pouvez apaiser mon tourment, quoi que pour un objet si charmant et si rare, mon mérite soit peu.","La ville se prépare à voir votre hyménée, il faut, et promptement, lui donner, amarille, un tel contentement."
"Le sort aux bons valets à la fin fait justice : je recouvre un brave homme, et je suis désormais pour être plus heureux que je ne fus jamais.","Quoique puisse dire aristote et toute la philosophie, il n’est rien d’égal au tabac, c’est la passion des honnêtes gens, et qui vit sans tabac n’est pas digne de vivre ; non seulement il réjouit et purge les cerveaux humains, mais encore il instruit les âmes à la vertu, et leur apprend avec lui à demeurer honnête homme ; ne voyez vous pas bien, dès qu’on en prend, de quelle manière obligeante on en use avec tout le monde, et comme on est ravi d’en donner à droite et à gauche, partout où l’on se trouve ?"
"Ton maître t’a-t-il découvert son cœur là-dessus, et t’a t-il dit qu’il eût pour nous quelque froideur qui l’ait obligé à partir ?","Non pas, mais à vue de pays je connais à peu près le train des choses, et sans qu’il m’ait encore rien dit, je gagerais presque que l’affaire va là."
"Quoi ?","Tu veux qu’on se lie à demeurer au premier objet qui nous prend, qu’on renonce au monde pour lui, et qu’on n’ait plus d’yeux pour personne ; la belle chose de vouloir se piquer d’un faux honneur, d’être fidèle, de s’ensevelir pour toujours dans une passion, et d’être mort dès sa jeunesse pour toutes les autres beautés qui nous peuvent frapper les yeux ; non non, la constance n’est bonne que pour des ridicules : toutes les belles ont droit de nous charmer, et l’avantage d’être rencontrée la première, ne doit point dérober aux autres les justes prétentions qu’elles ont toutes sur nos cœurs ; pour moi, la beauté me ravit partout où je la trouve, et je cède facilement à cette douce violence où elle nous entraine ; j’ai beau être engagé, l’amour que j’ai pour une belle n’engage point mon âme à faire une injustice aux autres ; je conserve des yeux pour voir le mérite de toutes, et je rends à chacune les hommages et les tributs où la nature nous oblige ; quoi qu’il en soit je ne puis refuser mon cœur à tout ce que je vois d’aimable, et dès qu’un beau visage me le demande, si j’en avais dix mille, je les donnerais tous : les inclinations naissantes après tout ont des charmes inexplicables, et tout le plaisir de l’amour est dans le changement : on goûte une douceur extrême à réduire, par cent hommages, le cœur d’une jeune beauté, à voir de jour en jour les petits progrès qu’on fait, à combattre par des transports, par des larmes et des soupirs, l’innocente pudeur d’une âme qui a peine à rendre les armes, à forcer pied à pied toutes les petites résistances qu’elle nous oppose, à vaincre les scrupules dont elle se fait un honneur, et à la mener doucement où nous avons envie de la faire venir ; mais lorsqu’on est  maître une fois, il n’y a plus rien à dire ni rien à souhaiter, tout le beau de la passion est fini, et nous nous endormons dans la tranquillité d’un tel amour, si quelque objet nouveau ne vient réveiller nos désirs, et présenter à notre cœur les charmes attrayants d’une conquête à faire ; enfin il n’est rien de si doux que de triompher de la résistance d’une belle personne, et j’ai sur ce sujet l’ambition des conquérants qui volent perpétuellement de victoire en victoire, et ne peuvent point se résoudre à borner leurs souhaits ; il n’est rien qui puisse arrêter l’impétuosité de mes désirs, je me sens porté à aimer toute la terre, et comme alexandre je souhaiterais qu’il y eût d’autres mondes pour y pouvoir étendre mes conquêtes amoureuses."
"Il est vrai, je conçois que cela est fort agréable et fort divertissant, et je m’en accommoderais assez moi, s’il n’y avait point de mal ; mais monsieur se jouer ainsi d’un mystère sacré et,","Va, c’est une affaire entre le ciel et moi, et nous la démêlerons bien ensemble, sans que tu t’en mettes en peine."
"Ma foi monsieur, j’ai toujours ouï dire que c’est une méchante raillerie que se railler du ciel, et que les libertins ne font jamais une bonne fin.","Holà maître sot, vous savez que je vous ai dit que je n’aime pas les faiseurs de remontrances."
"Holà maître sot, vous savez que je vous ai dit que je n’aime pas les faiseurs de remontrances.","Je ne parle pas aussi à vous, dieu m’en garde, vous savez ce que vous faites, et si vous ne croyez rien vous avez vos raisons : il y a de certains petits impertinents dans le monde, qui sont libertins sans savoir pourquoi, qui font les esprits forts parce qu’ils croient que cela leur sied bien, et si j’avais un maître comme cela, je lui dirais fort nettement, le regardant en face, osez-vous bien ainsi vous jouer du ciel, et ne tremblez-vous point de vous moquer comme vous faites des choses les plus saintes c’est bien à vous petit ver de terre, petit myrmidon que vous êtes (je parle au maître que j’ai dit) c’est bien à vous à vouloir vous mêler de tourner en raillerie ce que tous les hommes révèrent ; pensez-vous que pour être de qualité, pour avoir une perruque blonde et bien frisée, des plumes à votre chapeau, un habit bien doré, et des rubans couleur de feu (ce n’est pas à vous que je parle, c’est à l’autre) pensez-vous dis-je que vous en soyez plus habile homme, que tout vous soit permis et qu’on n’ose vous dire vos vérités ?"
"Et n’y craignez-vous rien, monsieur, de la mort de ce commandeur que vous tuâtes il y a six mois ?","Et pourquoi craindre ?"
"Ah, n’allons point songer au mal qui nous peut arriver, et songeons seulement à ce qui peut nous donner du plaisir : la personne dont je te parle est une jeune fiancée, la plus agréable du monde, qui a été conduite ici par celui même qu’elle y vient épouser, et le hasard m’a fait voir le couple d’amants trois ou quatre jours avant leur voyage.","Jamais je n’ai vu deux personnes être si contents l’un de l’autre, et faire éclater plus d’amour : la tendresse visible de leurs mutuelles ardeurs me donna  de l’émotion, j’en fus frappé au cœur, et mon amour commença par la jalousie ; oui je ne pus souffrir d’abord de les voir si bien ensemble ; le dépit alluma mes désirs, et je me figurai un plaisir extrême à pouvoir troubler leur intelligence, et rompre cet attachement, dont la délicatesse de mon cœur se tenait offensé ; mais jusqu’ici tous mes efforts ont été inutiles, et j’ai recours au dernier remède ; cet époux prétendu doit aujourd’hui régaler sa maîtresse d’une promenade sur mer, sans avoir rien dit, toutes choses sont préparées pour satisfaire mon amour, et j’ai une petite barque et des gens, avec quoi fort facilement je prétends enlever la belle."
"Hein.","C’est fort bien fait à vous, et vous le prenez comme il faut, il n’est rien tel en ce monde que de se contenter."
"C’est fort bien fait à vous, et vous le prenez comme il faut, il n’est rien tel en ce monde que de se contenter.","Prépare-toi donc à venir avec moi, et prends soin toi-même d’apporter toutes mes armes afin que… ah rencontre fâcheuse !"
"Je veux que l’on fasse comme l’on fait quand l’on aime comme il faut.","Ne t’aimé-je pas aussi comme il faut."
"Eh bien vla pas mon conte, testiquié si tu m’aimais me dirais-tu ça ?","Pourquoi me viens-tu tarabuster l’esprit."
"Mais au moins monsieur, ne m’y allez pas tromper je vous prie, il y aurait de la conscience à vous, et vous voyez comme j’y vais à la bonne foi.","Comment, il semble que vous doutiez encore de ma sincérité !"
"Comment, il semble que vous doutiez encore de ma sincérité !","Voulez-vous que je vous fasse des serments épouvantables ?"
"Je vous dis que vous tgnais, et que vous ne caressiez point nos accordées.","Ah que de bruit."
"Attends-moi un peu.","Je me moque de tout, moi."
"Je me moque de tout, moi.","Voyons cela."
"Voyons cela.","J’en avons bien vu d’autres."
"Je veux lui dire, moi.","Ah je vous apprendrai."
"Ah je vous apprendrai.","Peste soit du maroufle."
"Peste soit du maroufle.","Te voilà payé de ta charité."
"Que voulez-vous que je vous dise, vous soutenez également toutes deux que je vous ai promis de vous prendre pour femmes, est-ce que chacune de vous ne sait pas ce qui en est, sans qu’il soit nécessaire que je m’explique davantage.","Pourquoi m’obliger là-dessus à des redites ?"
"Comment monsieur, vous êtes aussi impie en médecine.","C’est une des grandes erreurs qui soit parmi les hommes."
"Vous ne croyez pas au séné, ni à la casse, au vin émétique ?","Et pourquoi veux-tu que j’y croie ?"
"L’effet est admirable.","Mais laissons-là la médecine, où vous ne croyez point, et parlons des autres choses ; car cet habit me donne de l’esprit, et je me sens en humeur de disputer contre vous ; vous savez bien que vous me permettez les disputes, et que vous ne me défendez que les remontrances."
"Oui, oui.","Aussi peu ; ne croyez-vous point l’autre vie ?"
"Ces nerfs, ces os, ces veines, ces artères, ces… ce poumon, ce cœur, ce foie, et tous ces autres ingrédients qui sont là et qui… ah dame interrompez-moi donc si vous voulez, je ne saurais disputer si l’on ne m’interrompt, vous vous taisez exprès, et me laissez parler par belle malice.","J’attends que ton raisonnement soit fini."
"J’attends que ton raisonnement soit fini.","Mon raisonnement est qu’il y a quelque chose d’admirable dans l’homme quoi que vous puissiez dire que tous les savants ne sauraient expliquer ; cela n’est-il pas merveilleux que me voilà ici ; et que j’aie quelque chose dans la tête qui pense cent choses différentes en un moment ; et fait de mon corps tout ce qu’il veut !"
"Bon voilà ton raisonnement qui a le nez cassé.","Morbleu je suis bien sot de raisonner avec vous, croyez ce que vous voudrez, il m’importe bien que vous soyez damné."
"Morbleu je suis bien sot de raisonner avec vous, croyez ce que vous voudrez, il m’importe bien que vous soyez damné.","Mais tout en raisonnant, je crois que nous sommes égarés ; appelle un peu cet homme que voilà là-bas, pour lui demander le chemin."
"Si vous voulez me secourir, monsieur de quelque aumône.","Ah, ah, ton avis est intéressé à ce que je vois."
"Monsieur.","À moins de cela tu ne l’auras pas."
"À moins de cela tu ne l’auras pas.","Va, va, jure un peu, il n’y a pas de mal."
"Va, va, jure un peu, il n’y a pas de mal.","Prends, le voilà, prends te dis-je, mais jure donc."
"Un homme attaqué par trois autres !","La partie est trop inégale, et je ne dois pas souffrir cette lâcheté."
"Au contraire, je vous y veux servir, et vous épargner des soins inutiles ; je suis ami de don juan, je ne puis pas m’en empêcher, mais il n’est pas raisonnable qu’il offense des gentilshommes impunément, je m’engage à vous faire faire raison par lui.","Et quelle raison peut-on faire à ces sortes d’injures."
"Quoi, mon frère, vous voilà avec notre ennemi mortel !","Oui je suis don juan moi-même, et l’avantage du nombre ne m’obligera pas à vouloir déguiser mon nom."
"Mon frère, montrons de la modération dans une action légitime, et ne vengeons point notre honneur avec cet emportement que vous témoignez ; ayons du cœur dont nous soyons les maîtres, une valeur qui n’ait rien de farouche, et qui se porte aux choses par une pure délibération de notre raison, et non point par le mouvement d’une aveugle colère ; je ne veux point mon frère demeurer redevable à mon ennemi, et je lui ai une obligation dont il faut que je m’acquitte avant toute chose : notre vengeance, pour être différée n’en sera pas moins éclatante, au contraire elle en tirera de l’avantage, et cette occasion de l’avoir pu prendre, la fera paraître plus juste aux yeux de tout le monde.","Ah l’étrange faiblesse, et l’aveuglement effroyable de hasarder ainsi les intérêts de son honneur pour la ridicule pensée d’une obligation chimérique !"
"Don juan, vous voyez que j’ai soin de vous rendre le bien que j’ai reçu de vous, et vous pouvez par là juger du reste, et croire que je m’acquitte avec même chaleur de tout ce que je dois, et que je ne serai pas moins exact à vous payer l’injure que le bienfait ; je ne veux point vous obliger à m’expliquer ici vos sentiments, et je vous donne la liberté de penser à loisir aux résolutions que vous avez à prendre ; vous connaissez assez la grandeur de l’offense que vous nous avez faite, et je vous fais juge vous-même des réparations qu’elle demande : il est des moyens doux pour nous satisfaire, il en est de violents et sanglants ; mais enfin, quelque choix que vous fassiez, vous m’avez donné parole de me faire faire raison par don juan, songez à me la tenir je vous prie, et vous ressouvenez que hors d’ici je ne dois plus qu’à mon honneur.","Je n’ai rien exigé de vous, et je vous tiendrai ce que j’ai promis."
"Il vous serait aisé de pacifier toute chose.","Oui, mais ma passion est usée pour done elvire et l’engagement ne compatit point avec mon humeur ; j’aime la liberté en amour, tu le sais, et je ne saurais me résoudre à renfermer mon cœur entre quatre murailles, je te l’ai dit vingt fois, j’ai une pente naturelle à me laisser aller à tout ce qui m’attire, mon cœur est à toutes les belles, et c’est à elles à le prendre tour à tour, et à le garder tant qu’elles pourront ; mais quel est le superbe édifice que je vois entre ces arbres."
"Au contraire, c’est une visite dont je lui veux faire civilité, et qu’il doit recevoir de bonne grâce, s’il est galant homme ; allons, entrons dedans.","Ah, que cela est beau, les belles statues !"
"Ah, que cela est beau, les belles statues !","Le beau marbre, les beaux piliers !"
"Le beau marbre, les beaux piliers !","Ah, que cela est beau, qu'en dites vous ?"
"Ce serait être fou que d’aller parler à une statue.","Fais ce que je te dis."
"Fais ce que je te dis.","Quelle bizarrerie !"
"Allons, sortons d’ici.","Voilà de mes esprits forts qui ne veulent rien croire."
"Voilà de mes esprits forts qui ne veulent rien croire.","Quoiqu’il en soit laissons cela, c’est une bagatelle, et nous pouvons avoir été trompés par un faux jour, ou surpris de quelque vapeur qui nous ait troublé la vue."
"Ah, monsieur, ne cherchons point à démentir ce que nous avons vu des yeux que voilà ; il n’est rien plus véritable que ce signe de tête, et je ne doute point que le ciel scandalisé de votre vie n’ait produit ce miracle pour vous convaincre, et pour vous retirer de…","Écoute, si tu m’importunes davantage de tes sottes moralités, si tu me dis encore le moindre mot là-dessus, je vais appeler quelqu’un, demander un nerf de bœuf ; te faire tenir par trois ou quatre, et te rouer de mille coups ; m’entends-tu bien ?"
"Si…","Voulez vous que je vous reconduise."
"Mais vous, sganarelle, vous me devez quelque chose en votre particulier.","Fi, ne parlez pas de cela."
"Mais mon argent ?","Vous moquez-vous ?"
"J’entends.","Bagatelles."
"Mais.","Fi."
"Fi.","De."
"De.","Fi vous dis-je."
"Ah me voici bien !","Il me fallait cette visite pour me faire enrager."
"Il me fallait cette visite pour me faire enrager.","Je vois bien que je vous embarrasse, et que vous vous passeriez fort aisément de ma venue : à dire vrai nous nous incommodons étrangement l’un l’autre, et si vous êtes las de me voir, je suis bien las aussi de vos déportements ; hélas !"
"Ainsi vous descendez en vain des aïeux dont vous êtes né, ils vous désavouent pour leur sang, et tout ce qu’ils ont fait d’illustre ne vous donne aucun avantage ; au contraire l’éclat n’en rejaillit sur nous qu’à notre déshonneur, et leur gloire est un flambeau qui éclaire aux yeux d’un chacun la honte de vos actions.","Apprenez encore qu’un gentilhomme qui vit mal, est un monstre dans la nature, que la vertu est le premier titre de noblesse, que je regarde bien moins au nom qu’on signe, qu’aux actions qu’on fait, et que je ferais plus d’état d’un fils d’un crocheteur qui serait honnête homme, que du fils d’un monarque qui vivrait comme vous."
"Si vous étiez assis, vous en seriez bien mieux pour parler.","Non, insolent, je ne veux point m’asseoir ni parler davantage, et je vois bien que toutes mes paroles ne font rien sur ton âme ; mais sache, fils indigne, que la tendresse paternelle est poussée à bout par tes actions, que je saurais plutôt que tu ne penses mettre cette borne à tes dérèglements, prévenir sur toi le courroux du ciel, et laver par ta punition la honte de t’avoir fait naître."
"Non, insolent, je ne veux point m’asseoir ni parler davantage, et je vois bien que toutes mes paroles ne font rien sur ton âme ; mais sache, fils indigne, que la tendresse paternelle est poussée à bout par tes actions, que je saurais plutôt que tu ne penses mettre cette borne à tes dérèglements, prévenir sur toi le courroux du ciel, et laver par ta punition la honte de t’avoir fait naître.","Eh mourez, le plus tôt que vous pourrez, c’est le mieux que vous puissiez faire ; il faut que chacun vive son tour, et j’enrage de voir que des pères vivent autant que leurs fils."
"J’ai tort.","Oui vous avez tort, d'avoir souffert ce qu'il vous a dit, et vous le deviez mettre dehors par les épaules ; a-t-on jamais rien vu de plus impertinent ?"
"Oui vous avez tort, d'avoir souffert ce qu'il vous a dit, et vous le deviez mettre dehors par les épaules ; a-t-on jamais rien vu de plus impertinent ?","Un père venir faire des remontrances à son fils, et lui dire de corriger ses actions, de se ressouvenir de sa naissance, de mener une vie d’honnête homme, et cent autres sottises de pareille nature ; cela se peut-il souffrir à un homme comme vous qui savez comme il faut vivre ?"
"Un père venir faire des remontrances à son fils, et lui dire de corriger ses actions, de se ressouvenir de sa naissance, de mener une vie d’honnête homme, et cent autres sottises de pareille nature ; cela se peut-il souffrir à un homme comme vous qui savez comme il faut vivre ?","J’admire votre patience, et si j’avais été en votre place, je l’aurais envoyé promener ; ô complaisant maudit, à quoi me réduis-tu ?"
"J’admire votre patience, et si j’avais été en votre place, je l’aurais envoyé promener ; ô complaisant maudit, à quoi me réduis-tu ?","Me fera-t-on souper bientôt ?"
"Pardonnez-moi.","C’est ce parfait et pur amour qui me conduit ici pour votre bien, pour vous faire part d’un avis du ciel, et tâcher de vous retirer du précipice où vous courez ; oui don juan je sais tous les dérèglements de votre vie, et ce même ciel qui m’a touché le cœur, et fait jeter les yeux sur les égarements de ma conduite, m’a inspiré de vous venir trouver, et de vous dire de sa part, que vos offenses ont épuisé sa miséricorde, que sa colère redoutable est prête de tomber sur vous, qu’il est en vous de l’éviter par un prompt repentir ; et que peut-être vous n’avez pas encore un jour à vous, pour vous soustraire au plus grand de tous les malheurs ; pour moi je ne tiens plus à vous par un attachement du monde, je suis revenue, grâce au ciel, de toutes mes folles pensées ; ma retraite est résolue et je ne demande qu’assez de vie pour pouvoir expier la faute que j’ai faite, et mériter, par une austère pénitence, le pardon de l’aveuglement où m’ont plongée les transports d’une passion condamnable : mais dans cette retraite j’aurai une douleur extrême qu’une personne, que j’ai chérie tendrement, devînt un exemple funeste de la justice du ciel, et ce me sera une joie incroyable, si je puis vous y porter et détourner de dessus votre tête l’épouvantable coup qui vous menace."
"C’est ce parfait et pur amour qui me conduit ici pour votre bien, pour vous faire part d’un avis du ciel, et tâcher de vous retirer du précipice où vous courez ; oui don juan je sais tous les dérèglements de votre vie, et ce même ciel qui m’a touché le cœur, et fait jeter les yeux sur les égarements de ma conduite, m’a inspiré de vous venir trouver, et de vous dire de sa part, que vos offenses ont épuisé sa miséricorde, que sa colère redoutable est prête de tomber sur vous, qu’il est en vous de l’éviter par un prompt repentir ; et que peut-être vous n’avez pas encore un jour à vous, pour vous soustraire au plus grand de tous les malheurs ; pour moi je ne tiens plus à vous par un attachement du monde, je suis revenue, grâce au ciel, de toutes mes folles pensées ; ma retraite est résolue et je ne demande qu’assez de vie pour pouvoir expier la faute que j’ai faite, et mériter, par une austère pénitence, le pardon de l’aveuglement où m’ont plongée les transports d’une passion condamnable : mais dans cette retraite j’aurai une douleur extrême qu’une personne, que j’ai chérie tendrement, devînt un exemple funeste de la justice du ciel, et ce me sera une joie incroyable, si je puis vous y porter et détourner de dessus votre tête l’épouvantable coup qui vous menace.","De grâce don juan accordez-moi pour dernière faveur cette douce consolation, ne me refusez point votre salut, que je vous demande avec larmes ; et si vous n’êtes point touché de votre intérêt, soyez-le au moins de mes prières, et m’épargnez le cruel déplaisir de vous voir condamné à des supplices éternels."
"Pauvre femme.","Je vous ai aimé avec une tendresse extrême, rien au monde ne m’a été si cher que vous, j’ai oublié mon devoir pour vous, j’ai fait toutes choses pour vous ; et toute la récompense que je vous demande c’est de corriger votre vie, et de prévenir votre perte."
"Sauvez-vous je vous prie, ou pour l’amour de moi, ou pour l’amour de vous.","Encore une fois don juan, je vous le demande avec larmes, et si ce n’est assez des larmes d’une personne que vous avez aimée, je vous en conjure par tout ce qu’il y a de plus capable pour vous toucher."
"Non vous dis-je, ne perdons point de temps en discours superflus, laissez-moi vite aller, ne faites aucune instance pour me conduire, et songez seulement à profiter de mon avis.","Sais-tu bien que j’ai encore senti quelque peu d’émotion pour elle, que j’ai trouvé de l’agrément dans cette nouveauté bizarre, et que son habit négligé, son air languissant et ses larmes ont réveillé en moi quelques petits restes de feu éteint ?"
"Sais-tu bien que j’ai encore senti quelque peu d’émotion pour elle, que j’ai trouvé de l’agrément dans cette nouveauté bizarre, et que son habit négligé, son air languissant et ses larmes ont réveillé en moi quelques petits restes de feu éteint ?","C’est à dire que ces paroles n’ont fait aucun effet sur…"
"C’est à dire que ces paroles n’ont fait aucun effet sur…","Vite à souper."
"Fort bien.","Il faut songer à s’amender pourtant."
"Qu’en dis-tu ?","Rien, voilà le souper."
"Rien.","Montre un peu, parbleu c’est une fluxion qui lui est tombée sur la joue, vite une lancette pour percer cela, le pauvre garçon n’en peut plus, cet abcès le pourrait étouffer, attends voici comme il était mûr, ah coquin que vous êtes."
"Qui peut frapper de cette sorte ?","Qui diable nous vient troubler dans notre repas ?"
"Où te cacheras tu ?","Une chaise et un couvert, vite donc, allons, mets-toi à table."
"Monsieur, je n’ai plus de faim.","Mets-toi là te dis-je, à boire à la santé du commandeur, je te la porte, qu’on lui donne du vin."
"Monsieur je n’ai pas soif.","Bois, et chante la chanson pour régaler le commandeur."
"Je suis enrhumé monsieur.","Il n’importe, allons, vous autres venez, accompagnez sa voix."
"Don juan, c’est assez, je vous invite à venir demain souper avec moi, en aurez vous le courage ?","Oui j’irai accompagné."
"Oui j’irai accompagné.","Je vous rends grâce, il est demain jeûne pour moi."
"Ce que vous me dites est il bien vrai ?","Ne m’abusez-vous point d’un faux espoir, et puis-je prendre quelque assurance sur la nouveauté surprenante d’une telle conversion ?"
"Que j’ai de joie de vous voir converti ; il y a longtemps que j’attendais cela, et voilà, grâce au ciel, tous mes souhaits accomplis.","La peste le benêt."
"La peste le benêt.","Comme, le benêt."
"Eh pourquoi non ?","Il y en a tant d’autres comme moi, qui se mêlent de ce métier, et qui se servent du même masque pour abuser le monde."
"Après cela, si ne vous rendez, tant pis pour vous.","Don juan je vous trouve à propos, et suis bien aise de vous parler ici plutôt que chez vous, pour vous demander vos résolutions ; vous savez que ce soin me regarde, et que je me suis en votre présence chargé de cette affaire, pour moi je ne le cèle point, je souhaite fort que les choses aillent dans la douceur, et il n’y a rien que je ne fasse pour porter votre esprit à vouloir prendre cette voie, et pour vous voir publiquement à ma sœur confirmer le nom de votre femme."
"Ce dessein, don juan, ne choque point ce que je dis et la compagnie d’une femme légitime peut bien s’accommoder avec les louables pensées que le ciel vous inspire.","Hélas, point du tout, c’est un dessein que votre sœur elle-même a pris ; elle a résolu sa retraite, et nous avons été touchés tous deux en même temps."
"Hélas, point du tout, c’est un dessein que votre sœur elle-même a pris ; elle a résolu sa retraite, et nous avons été touchés tous deux en même temps.","Sa retraite ne peut nous satisfaire, pouvant être imputée au mépris que vous faites d’elle et de notre famille, et notre honneur demande qu’elle vive avec vous."
"Sa retraite ne peut nous satisfaire, pouvant être imputée au mépris que vous faites d’elle et de notre famille, et notre honneur demande qu’elle vive avec vous.","Je vous assure que cela ne se peut, j’en avais pour moi toutes les envies du monde, et je me suis même encore aujourd’hui conseillé au ciel pour cela ; mais lorsque je l’ai consulté j’ai entendu une voix qui m’a dit que je ne devais point songer à votre sœur, et qu’avec elle assurément je ne ferais point mon salut."
"C’est le ciel qui le veut ainsi.","Vous aurez fait sortir ma sœur d’un couvent pour la laisser ensuite ?"
"Le ciel l’ordonne de la sorte.","Nous souffrirons cette tache en notre famille ?"
"Prenez-vous-en au ciel.","Eh quoi, toujours le ciel ?"
