"Briguelle, que fais-tu ?","Je rassure mon cœur, et tâche à retenir mon âme qui s’envole."
"Que ne me dites vous que des affaires de la dernière conséquence vous ont obligé à partir sans m’en donner avis, qu’il faut que malgré vous vous demeuriez ici quelque temps, et que je n’ai qu’à m’en retourner d’où je viens, assurée que vous suivez mes pas le plus tôt qu’il vous sera possible, puisque il est très certain que vous brulez de me rejoindre, et qu’éloigné de moi vous souffrez ce que souffre un corps qui est séparé de son âme ; voilà comme il faut vous défendre, et non pas être interdit comme vous êtes.","Je vous avoue, que je n'ai point le talent de dissimuler, et que je porte un c%u0153ur sincère, je ne vous dirai point que je suis toujours dans les mêmes sentiments pour vous, et que je brûle de vous rejoindre, puisqu'enfin il est assuré que je ne suis parti que pour vous fuir, non point pour les raisons que vous pouvez vous figurer, mais par un pur motif de conscience, et pour ne croire pas qu'avec vous davantage je puisse vivre sans péché ; il m'est venu des scrupules, et j'ai ouvert les yeux de l'âme sur ce que je faisais, j'ai fait réflexion que pour vous épouser je vous ai dérobée à la clôture d'un convent, que vous avez rompu des v%u0153ux qui vous engageaient autre part, et que le ciel est fort jaloux de ces sortes de choses."
"Je vous avoue, que je n'ai point le talent de dissimuler, et que je porte un c%u0153ur sincère, je ne vous dirai point que je suis toujours dans les mêmes sentiments pour vous, et que je brûle de vous rejoindre, puisqu'enfin il est assuré que je ne suis parti que pour vous fuir, non point pour les raisons que vous pouvez vous figurer, mais par un pur motif de conscience, et pour ne croire pas qu'avec vous davantage je puisse vivre sans péché ; il m'est venu des scrupules, et j'ai ouvert les yeux de l'âme sur ce que je faisais, j'ai fait réflexion que pour vous épouser je vous ai dérobée à la clôture d'un convent, que vous avez rompu des v%u0153ux qui vous engageaient autre part, et que le ciel est fort jaloux de ces sortes de choses.","Le repentir m'a pris, et j'ai craint le courroux céleste ; j'ai cru que notre mariage n'était qu'un adultère déguisé, qu'il nous attirerait quelque disgrâce d'en haut, et qu'enfin je devais tâcher de vous oublier, et vous donner moyen de retourner à vos premières chaînes ; voudriez-vous vous opposer à une si sainte pensée ; et que j'allasse, en vous retenant, me mettre le ciel sur les bras ?"
"Si le remords le pouvait prendre.","Allons songer à l’exécution de notre entreprise amoureuse."
"Oui, c’est le maître, il faut que ce soit queuque gros gros monsieur, car il a du dor à son habit tout depis l’haut jusque en bas, et ceux qui le sarvant sont des monsieurs eux-mesmes, et stan pandant, tout gros monsieur qu’il est, il serait per ma fegue nayé, si je n’avions esté là.","Ardez un peu."
"Que veux tu ?","Je veux que tu m’aimes."
"Je veux que tu m’aimes.","Est ce que je ne t’aime pas ?"
"Non tu ne m’aimes pas, et si je fais tout ce que je pis pour ça, je t’ajette sans reproche des rubans à tous ces marciers qui passont, je me romps le cou à t’aller dénicher des marles, je fais jouer pour toi les vielloux quand ce vient ta feste, et tout ça comme si je me frappais la tête contre un mur ; vois-tu, c’a n’est ni biau ni honeste de n’aimer pas les gens qui nous aimant.","Mais mon guieu, je t’aime aussi."
"Mais mon guieu, je t’aime aussi.","Ouy, tu m’aimes d’une belle deguaine."
"Quemant veux tu donc qu’on fasse ;","Je veux que l’on fasse comme l’on fait quand l’on aime comme il faut."
"Et bien, quien.","Promets-moi que tu tâcheras de m’aimer davantage."
"Autre pièce nouvelle.","D'où me vient, une rencontre si agréable ?"
"D'où me vient, une rencontre si agréable ?","Quoi, dans ces lieux champêtres, parmi ces arbres, et ces rochers, on trouve des personnes faites comme vous êtes ?"
"Vous voyez monsieur.","Êtes-vous de ce village ?"
"Oui monsieur.","Et vous y demeurez ?"
"Oui monsieur.","Vous vous appellez."
"Charlotte pour vous servir.","Ah la belle personne, et que ses yeux sont pénétrants !"
"Monsieur vous me rendez toute honteuse.","Ah n’ayez point de honte d’entendre dire vos vérités."
"Sganarelle qu’en dis tu ?","Peut on rien voir de plus agréable ?"
"Peut on rien voir de plus agréable ?","Tournez-vous un peu s’il vous plaît ; ah que cette taille est jolie !"
"Tournez-vous un peu s’il vous plaît ; ah que cette taille est jolie !","Haussez un peu la tête de grâce."
"Haussez un peu la tête de grâce.","Ah que ce visage est mignon !"
"Ah que ce visage est mignon !","Ouvrez vos yeux entièrement, ah qu’ils sont beaux !"
"Ouvrez vos yeux entièrement, ah qu’ils sont beaux !","Que je voie un peu vos dents, je vous prie."
"Que je voie un peu vos dents, je vous prie.","Ah qu’elles sont amoureuses, et ces lèvres appétissantes !"
"Ah qu’elles sont amoureuses, et ces lèvres appétissantes !","Pour moi je suis ravi, et je n’ai jamais veu une si charmante personne."
"Monsieur, cela vous plaît à dire, et je ne sais pas si c’est pour vous railler de moi.","Moi, me railler de vous, dieu m’en garde, je vous aime trop pour cela, c’est du fond du cœur que je vous parle."
"Moi, me railler de vous, dieu m’en garde, je vous aime trop pour cela, c’est du fond du cœur que je vous parle.","Je vous suis bien obligée si cela est."
"Je vous suis bien obligée si cela est.","Point du tout, vous ne m’êtes point obligée de tout ce que je dis, et ce n’est que à votre beauté que vous en êtes redevable."
"Ah que dites vous là ?","Elles sont les plus belles du monde, souffrez que je les baise, je vous prie."
"Monsieur, c’est trop d’honneur que vous me faites, et si j’avais su ça tantôt je n’aurais pas manqué de les laver avec du son.","Et dites-moi un peu, vous n'êtes pas marié(e) sans doute ?"
"Une personne comme vous seriez la femme d’un simple paysan ?","Non, non, c'est profaner tant de beauté, et vous n'êtes pas née pour demeurer dans un village ; vous méritez sans doute une meilleure fortune, et le ciel qui le connaît bien m'a conduit ici tout exprès pour empêcher ce mariage, et rendre justice à vos charmes ; car enfin, je vous aime de tout mon c%u0153ur, et il ne tiendra qu'à vous que je ne vous arrache de ce lieu misérable, et ne vous mette dans l'état où vous méritez d'être ; cet amour est bien prompt sans doute ; mais quoi !"
"Non, non, c'est profaner tant de beauté, et vous n'êtes pas née pour demeurer dans un village ; vous méritez sans doute une meilleure fortune, et le ciel qui le connaît bien m'a conduit ici tout exprès pour empêcher ce mariage, et rendre justice à vos charmes ; car enfin, je vous aime de tout mon c%u0153ur, et il ne tiendra qu'à vous que je ne vous arrache de ce lieu misérable, et ne vous mette dans l'état où vous méritez d'être ; cet amour est bien prompt sans doute ; mais quoi !","C'est un éclat, de votre grande beauté, et l'on vous aime autant en un quart d'heure qu'on ferait une autre en six mois."
"Aussi vrai, monsieur, je ne sais comment vous faites quand vous parlez, ce que vous dites me fait aise, et j’aurais toutes les envies du monde de vous croire, mais on m’a toujours dit qu’il ne faut jamais croire les monsieurs, et que vous autres courtisans vous êtes des enjôleurs qui ne songez qu’à abuser les filles.","Je ne suis pas de ces gens-là."
"Voyez-vous, monsieur, il n’y a pas plaisir à se laisser abuser : je suis une pauvre paysanne, mais j’ai l’honneur en recommandation, et j’aimerais mieux me voir morte que de me voir déshonorée.","Moi j’aurais l’âme assez méchante pour abuser une personne comme vous ?"
"Moi j’aurais l’âme assez méchante pour abuser une personne comme vous ?","Je serais assez lâche pour vouloir vous déshonorer ?"
"Je serais assez lâche pour vouloir vous déshonorer ?","Non, non, j'ai trop de conscience pour cela ; je vous aime en tout bien et en tout honneur, et pour vous montrer que je vous dis vrai, sachez que je n'ai point d'autre dessein que de vous épouser."
"Non, non, j'ai trop de conscience pour cela ; je vous aime en tout bien et en tout honneur, et pour vous montrer que je vous dis vrai, sachez que je n'ai point d'autre dessein que de vous épouser.","En voulez vous un plus grand témoignage ?"
"En voulez vous un plus grand témoignage ?","M’y voilà prêt quand vous voudrez, et je prends à témoin l’homme que voilà de la parole que je vous donne."
"Non, non, ne craignez point, il se mariera avec vous tant que vous voudrez.","Eh, je vois bien que vous ne me connaissez pas encore, vous me faites grand tort de juger de moi par les autres ; et s'il y a des fourbes dans le monde, des gens qui ne cherchent qu'à abuser des filles, vous devez me tirer du nombre, et ne pas mettre en doute la sincérité de ma foi ; et puis votre beauté vous assure de tout ; quand on est faite comme vous, on doit être à couvert de toutes ces sortes de créances ; vous n'avez point l'air, croyez-moi, d'une personne qu'on abuse, et pour moi, je vous l'avoue, je me percerais le c%u0153ur de mille coups si j'avais eu la moindre pensée de vous trahir."
"Mon dieu, je ne sais si vous dites vrai ou non, mais vous faites que l’on vous croie.","Lorsque vous me croyez, vous me rendez justice assurément, et je vous réitère encore la promesse que je vous ai faite, ne la croyez-vous pas ?"
"Lorsque vous me croyez, vous me rendez justice assurément, et je vous réitère encore la promesse que je vous ai faite, ne la croyez-vous pas ?","Et ne voulez-vous pas consentir à être ma femme ?"
"Mais au moins monsieur, ne m’y allez pas tromper je vous prie, il y aurait de la conscience à vous, et vous voyez comme j’y vais à la bonne foi.","Comment, il semble que vous doutiez encore de ma sincérité !"
"Comment, il semble que vous doutiez encore de ma sincérité !","Voulez-vous que je vous fasse des serments épouvantables ?"
"Ne jurez point, je vous crois.","Donnez-moi donc un petit baiser pour gage de votre parole."
"Attendez que je soyons mariées, je vous prie, après ça je vous baiserai tant que vous voudrez.","Et bien, je veux tout ce que vous voulez, abandonnez-moi seulement votre main, et souffrez, que par cent baisers je lui exprime le ravissement où je suis."
"Jarny, je vas dire à ta tante tout ce ménage-ci.","Enfin je m’en vais être le plus heureux de tous les hommes, et je ne changerais pas mon bonheur à toutes les choses du monde : que de plaisirs, que de plaisirs, quand vous serez ma femme, et que !"
"Il n’y a pas moyen de lui faire entendre raison.","Je voudrais."
"Tous les discours n’avancent point les choses, il faut faire et non pas dire, et les effets décideront mieux que les paroles ; aussi n’est-ce rien que par là que je veux vous mettre d’accord, et l’on verra quand je me marierai laquelle des deux a mon cœur ; laissez-lui croire ce qu’elle voudra.","Je suis tout à vous."
"Je suis tout à vous.","Tous les visages sont laids auprès du vôtre."
"Tous les visages sont laids auprès du vôtre.","On ne peut plus souffrir les autres quand on vous a vue."
"Allons vite, c’est trop d’honneur que je vous fais, et bien heureux est le valet qui peut avoir la gloire de mourir pour son maître.","Je vous remercie d’un tel honneur."
"Non, il mourut.","L’effet est admirable."
"Vous n’avez qu’à suivre cette route, messieurs, et tournez à main droite quand vous serez au bout de la forêt ; mais je vous donne avis que vous devez vous tenir sur vos gardes, et que depuis quelque temps il y a des voleurs ici autour.","Je te suis obligé mon ami, et je te rends grâces de tout mon cœur."
"Quoi, mon frère, vous voilà avec notre ennemi mortel !","Oui je suis don juan moi-même, et l’avantage du nombre ne m’obligera pas à vouloir déguiser mon nom."
"Quoi, vous prenez le parti de notre ennemi contre moi ?","Et loin d’être saisi, à son aspect, des mêmes transports que je sens, vous faites voir pour lui des sentiments pleins de douceur ?"
"Oui monsieur, pour vous rendre service ; je suis venu…","Vous avez un fond de santé admirable, des lèvres fraîches, un teint vermeil, et des yeux vifs."
"Monsieur, je suis votre serviteur.","Parbleu je suis à vous de tout mon cœur."
"Je…","Il n’y a rien que je ne fasse pour vous."
"Monsieur, vous avez trop de bonté pour moi.","Et cela sans intérêt, je vous prie de le croire."
"Mais…","Embrassez-moi donc, s’il vous plaît ; je vous prie encore une fois d’être persuadé que je suis tout à vous, et qu’il n’y a rien au monde que je ne fasse pour votre service."
"Rien, voilà le souper.","Il semble que tu as la joue enflée ; qu’est-ce que c’est, parle donc, qu’as-tu là ?"
"Oui, où faut il aller ?","Donnez-moi la main."
"Que tu sais peu ce que c’est que d’aimer ;  à voir mille transports d’une flamme assidue,  quelle fierté, dis-moi, ne se serait rendue ?","il est bien mal aisé dans ces empressements  qu’un coeur n’ait tôt ou tard de tendres sentiments,  et l’amour qu’on nous montre, en paraissant extrême,  fait que sans raisonner on y répond de même :  quelque doute qu’on ait de sa sincérité,  l’amour malgré la crainte est toujours écouté,  et comme les soupçons semblent lui faire injure,  on le flatte aisément d’une ardeur toute pure."
"Et c’est ce qui vous perd.","En matière d’amour  il faut que la raison vous gouverne à son tour."
"Vous le connaissez mal, il n’a ni foi ni loi,  madame, et n’admet point de dieux que son caprice,  et sans cesse du ciel il brave la justice.","Tel qu’il soit, je prétends aujourd’hui lui parler ;  son ardeur envers moi pourra se réveiller,  l’amour produit souvent des retours dans une âme."
"en vain vous faites fond sur le don de mon coeur.","le bien dont on jouit ne cause plus d’ardeur,  et la possession, plus elle a fait d’envie,  du plaisir de jouir est bientôt assouvie."
"Nous pouvons nous sauver malgré nos ennemis ;  mais en quelqu’autre endroit que nous prenions asile,  il nous faut gouverner autrement qu’à séville.","Ne nous contraignons point du tout dans nos plaisirs,  que chacun à son gré contente ses désirs,  goûtons diversement les plaisirs de la vie."
"Ne nous contraignons point du tout dans nos plaisirs,  que chacun à son gré contente ses désirs,  goûtons diversement les plaisirs de la vie.","Ce n’est pas mon dessein de régler votre envie ;  mais pourquoi ces transports ?"
"Pourquoi ces vanités ?","on peut dans l’apparence être moins emporté  et donner à ses sens une pleine carrière ;  notre coeur en secret en a la joie entière,  et goûtant les plaisirs, on s’applaudit tout bas,  de ce qu’on est content et qu’on ne le sait pas."
"Voici bien du mystère.","résous-toi de me suivre et sans tant raisonner,  autrement."
"Faquin, te tairas-tu.","Je jure et je promets  de vous prendre pour femme."
"Et que n’apaisez-vous son esprit sur ce point ?","Je lui vais dire aussi que vous serez ma femme  et qu’elle espère en vain du pouvoir sur mon âme,  et pour mettre le calme à son esprit jaloux,  que je vous l’ai promis."
"ma soeur a-t-elle lieu plus que moi d’y prétendre ?","Plus que vous, point du tout, je lui faisais entendre,  que c’était temps perdu de s’arrêter à moi,  et que vous avez seule et mon coeur et ma foi."
"Je parlais de vous-même !","je disais que vous seule étiez celle que j’aime,  que c’était temps perdu de s’arrêter à moi,  et que vous possédez et mon coeur et ma foi."
"Elle a lieu de pleurer sa mauvaise fortune,  et doit se plaindre au ciel de n’avoir pas ces yeux,  qui font de mon bonheur les maîtres et les dieux,  elle aura du dépit de vous voir mon épouse.","Votre entretien a droit de me rendre jalouse."
"Quoi !","Vous pourriez douter de l’ardeur de mes feux ?"
"Et ne voyez-vous pas que je veux m’en défaire ?","c’est en vain que ses soins s’attachent à me plaire,  vous seule me charmez, et malgré son dessein,  je prétends en un mot vous épouser demain."
"Parce que je sais bien qu’il n’aime rien que moi.","Tu te flattes beaucoup."
"J’ai sujet de le faire.","Ton extrême beauté sans doute a pu lui plaire ?"
"Tu le dis, mais peux-tu te comparer à moi ?","ah, la rare beauté !"
"ah, la rare beauté !","Vaut-elle pas la mienne ?"
"mais je vois don felix qui vient avec mon maître.","Si vous m’aimez, il faut me le faire connaître."
"Si vous m’aimez, il faut me le faire connaître.","vous savez que dorinde avait su me charmer ?"
"Elle-même, et tantôt, examinant le temple  que l’on voit en ces lieux et qui n’a point d’exemple,  j’ai su que cet objet qui fit naître mes feux  était prête demain d’y faire quelques voeux,  et je veux l’enlever par force ou par adresse.","voulez-vous seconder cette ardeur qui m’empresse ?"
"Vous me connaissez trop pour en pouvoir douter,  je fais pour un ami gloire de tout tenter,  je n’examine point quel péril y peut être,  dans les plus grands dangers l’amitié doit paraître,  et quand je serais sûr d’y trouver le trépas,  la crainte de périr ne m’arrêterait pas :  jugez après cela si je veux l’entreprendre.","Comment me revenger d’une amitié si tendre ?"
"ah !","Si l’occasion s’offre de vous servir,  vous verrez."
"dans le désordre affreux que produira le feu,  vous y pourrez entrer et jouer votre jeu ;  feignant de secourir, vous prendrez cette belle,  et dans l’obscurité vous fuirez avec elle.","trouvez-vous ce moyen infaillible pour vous ?"
"planté dans une rue, et sans armes, la nuit,  et par surcroît de mal, près des lieux où ce diable  fera dans un moment un vacarme effroyable !","qui, dans un tel état, aurait assez de coeur  pour ne pas ressentir les effets de la peur ?"
"Ah !","Que dans ce moment mon coeur ressent de joie !"
"Non.","Je vois qu’avec vous je traîne mon lien,  et si j’y reste encor, je pourrai bien, je pense,  épouser avec vous une même potence."
"Mais à quoi vous suis-je nécessaire ?","Suffit que je le veuille, tu dois me satisfaire."
"Mais croyez-vous, qu'on ne vous cherche pas et que vous n'ayez point d'ennemis sur les bras ?","De quelque grand péril qu'on menace ma tête, tu me verras plus ferme au fort de la tempête, affronter le danger sans craindre le trépas."
"De quelque grand péril qu'on menace ma tête, tu me verras plus ferme au fort de la tempête, affronter le danger sans craindre le trépas.","la foudre peut tomber et ne m’écraser pas."
"la foudre peut tomber et ne m’écraser pas.","ce bras sait l’art de vaincre, et du moins si ma vie  est par mes ennemis ardemment poursuivie,  et qu’il faille céder aux caprices du sort,  carrille, j’ai du coeur pour me donner la mort."
"ce bras sait l’art de vaincre, et du moins si ma vie  est par mes ennemis ardemment poursuivie,  et qu’il faille céder aux caprices du sort,  carrille, j’ai du coeur pour me donner la mort.","mais pour te faire voir que ni peur ni menace  ne peuvent ébranler une si ferme audace,  je verrais maintenant et la terre et les cieux  animer contre moi cent monstres furieux,  que d’un coeur intrépide et d’un bras indomptable,  j’opposerais ma force à leur rage effroyable."
"mais pour te faire voir que ni peur ni menace  ne peuvent ébranler une si ferme audace,  je verrais maintenant et la terre et les cieux  animer contre moi cent monstres furieux,  que d’un coeur intrépide et d’un bras indomptable,  j’opposerais ma force à leur rage effroyable.","cependant au départ il nous faut préparer,  car dans peu de ces lieux je me veux retirer,  et si je ne te vois pas résolu de me suivre,  sois sûr qu’au même instant tu cesseras de vivre."
"Dans l'état où je suis, je ferai rage.","Tu peux bien te défendre avec cet équipage :  mais du coeur, en as-tu ?"
"Tu trembles.","Point du tout, mon courage est tout prêt."
"Réponds-nous donc, trompeur.","Sans m’arrêter ici, quels desseins sont les vôtres ?"
"je ne puis être à vous sans lui faire une injure ;  voyez de plus l’horreur d’une telle aventure,  et que le ciel aigri de l’amour des deux soeurs,  exercera sur moi les dernières rigueurs.","La bonne âme !"
"La bonne âme !","Il faut donc, dans un profond silence,  étouffer entre nous cet amour qui l’offense,  et par un repentir éteindre dans nos coeurs,  l’infâme souvenir de ces noires ardeurs."
"un maître au même instant, avec un bon bâton,  lui doit fermer la bouche et s’en faire raison :  voilà le sort qu’un jour ta langue te prépare.","Il faut qu’ouvertement enfin je me déclare."
"Il faut qu’ouvertement enfin je me déclare.","Qui se tairait, en voyant ces beaux tours, que sans crainte du ciel vous faites tous les jours ?"
"Hé !","Pour voir ce qu’ils sont, il ne faut que des yeux."
"Ils n’ont pu résister à l’effort de nos coups.","Il le faut avouer, tout nous est favorable"
"Ô l’homme de courage !","viendras-tu ?"
"viendras-tu ?","Me voilà."
"Bon, prier une pierre à souper avec soi !","rêvez-vous ?"
"rêvez-vous ?","Non, je veux contenter mon envie."
"va donc.","D’où vous provient ce beau trait de folie !"
"à quoi bon s’exposer aux fureurs de cette ombre ?","vous courez au galop dans le royaume sombre."
"J’y cours.","Ah, que je vais recevoir de plaisir !"
"On ne peut jamais mieux contenter son envie.","Rien ne peut égaler notre félicité,  et le plaisir enfin suit notre volonté ;  je n’ai point de regret d’avoir quitté séville."
"Rien ne peut égaler notre félicité,  et le plaisir enfin suit notre volonté ;  je n’ai point de regret d’avoir quitté séville.","Je goûte des plaisirs plus charmants qu’à la ville,  et ces soins, ces détours que demande l’amour,  s’ils servent en ces lieux, ce n’est que pour un jour."
"quelle douceur pour moi de voir une bergère  se rendre au même instant que je tâche à lui plaire,  et, joignant le respect à la simplicité,  me laisser un champ libre à ma témérité.","Mais l’amour veut pourtant un peu de résistance."
"Mais l’amour veut pourtant un peu de résistance.","Mais l’amour est tout pur parmi cette innocence."
"Mais l’amour est tout pur parmi cette innocence.","La fierté, don juan, augmente le désir,  et qui la peut dompter en a plus de plaisir ;  il est charmant de vaincre une beauté sévère."
"La fierté, don juan, augmente le désir,  et qui la peut dompter en a plus de plaisir ;  il est charmant de vaincre une beauté sévère.","Mais cette résistance est souvent un mystère :  sous le masque trompeur d’une adroite fierté,  on cache les défauts de la fragilité,  l’amour à ces froideurs augmente son estime,  et plus l’amour est grand, moins il connaît le crime."
"Mais cette résistance est souvent un mystère :  sous le masque trompeur d’une adroite fierté,  on cache les défauts de la fragilité,  l’amour à ces froideurs augmente son estime,  et plus l’amour est grand, moins il connaît le crime.","vous connaissez philis, elle est de cette humeur,  elle affecte toujours une grande pudeur,  au moindre mot d’amour cette prude tempête,  mais sitôt qu’avec elle on vient au tête-à-tête,  ce farouche dehors est bientôt adouci."
"les restes, en amour, ont toujours peu d’appâts,  et l’on doit les laisser à de moins délicats.","Je veux que vous trouviez ici quelque avantage  et que l’honneur soit joint aux attraits du visage :  mais quel plaisir a-t-on d’aimer une beauté  dont l’éclat est terni par la stupidité ?"
"Je veux que vous trouviez ici quelque avantage  et que l’honneur soit joint aux attraits du visage :  mais quel plaisir a-t-on d’aimer une beauté  dont l’éclat est terni par la stupidité ?","peut-on trouver du goût à chérir une idole  sans aucun enjouement, sans esprit, sans parole,  et qui, répondant même à vos empressements,  ne saurait exprimer quels sont ses sentiments ?"
"l’amour n’a rien de doux dans l’ardeur qu’il inspire,  si la bouche, don juan, ne prend soin de le dire.","c’est peu que des soupirs, s’ils ne sont animés,  mais quand d’un feu pareil deux coeurs sont enflammés  et que l’esprit seconde une tendance extrême,  il n’est rien à l’égal de ce bonheur suprême."
"Je suis pour l’un et l’autre,  et tiens son sentiment aussi bon que le vôtre.","en matière d’amour point de réflexion,  donnons-nous tous entiers à notre passion,  et soit qu’une beauté soit facile ou sévère,  spirituelle ou non, il faut se satisfaire ;  c’est ce que nous devons tous les trois observer."
"Qu’on nous donne à laver.","Ah, que de tous ces mets, l’odeur est agréable !"
"Quelque sot qui s’oublie !","Ah, l’excellent morceau !"
"Que viens-tu nous conter ?","L’agréable entretien !"
"»  ce sont là les beaux coups de votre seigneurie ;  comment doit-on nommer tout cela, je vous prie ?","Un plaisir sans pareil."
"si le désir vous tient, passez-en votre envie,  j’aime mieux n’avoir rien le reste de ma vie ;  comment diable, voler !","Quel damnable désir."
"Comment !","Le coeur vous bat !"
"Parle pour moi.","Vous êtes admirable !"
"Si j’étais à ses yeux autant que vous aimable, ne vous en pensez pas moquer, je sais fort bien qu’il ne s’ennuierait pas dedans mon entretien.","Adorable beauté pour qui mon coeur soupire, incomparable objet dont j'adore l'empire, beaux yeux, mes seuls vainqueurs, dont les regards puissants ont captivé mon âme, et ravi tous mes sens, ouvrage le plus beau qu'ait produit la nature, tiendrez-vous plus longtemps mon âme à la torture ?"
"Adorable beauté pour qui mon coeur soupire, incomparable objet dont j'adore l'empire, beaux yeux, mes seuls vainqueurs, dont les regards puissants ont captivé mon âme, et ravi tous mes sens, ouvrage le plus beau qu'ait produit la nature, tiendrez-vous plus longtemps mon âme à la torture ?","N'aurez-vous point pitié de voir à vos genoux un amant si fidèle, et qui se meurt pour vous ?"
"N'aurez-vous point pitié de voir à vos genoux un amant si fidèle, et qui se meurt pour vous ?","J'ai cent fois imploré le secours de la parque, j'ai de mon désespoir donné plus d'une marque, et loin de m'affranchir de tant de maux soufferts, je redouble ma chaîne, et resserre mes fers : n'avez-vous point encore assez de connaissance de mes soumissions ?"
"J'ai cent fois imploré le secours de la parque, j'ai de mon désespoir donné plus d'une marque, et loin de m'affranchir de tant de maux soufferts, je redouble ma chaîne, et resserre mes fers : n'avez-vous point encore assez de connaissance de mes soumissions ?","De ma persévérance ?"
"De ma persévérance ?","Mes soins et mes respects vous sont-ils inconnus ?"
"Eh quoi!","Par une loi si dure et si barbare, faudra-t-il qu'une amour si constante et si rare."
"Eh bien donc !","Je m'impose un éternel silence, et je suis prêt de brûler, de souffrir, que dis-je de brûler ?"
"Je m'impose un éternel silence, et je suis prêt de brûler, de souffrir, que dis-je de brûler ?","Je suis prêt à mourir."
"Je suis prêt à mourir.","Oui, je mourrai plutôt qu'un insolent murmure choque ce que l'on doit aux lois de la nature ; et plutôt qu'irriter un chef-d'oeuvre si beau, à vos pieds maintenant je ferai mon tombeau."
"Ah !","Ne triomphez pas ici de ma faiblesse, mourir !"
"Ne triomphez pas ici de ma faiblesse, mourir !","Ce mot me choque, et bien plus, il me blesse."
"Ce mot me choque, et bien plus, il me blesse.","Je vous aime, et mon coeur, prêt à vous secourir, vous défend de jamais me parler de mourir."
"Cet aveu dit assez que mon âme ingénue, en choquant mon devoir, se montre toute nue, et qu’enfin, mon amour veut exiger de moi en faveur de philippe une sincère foi, et lui jurer que rien désormais n’est capable de lui faire changer le titre d’immuable.","Merveille des beautés, divin charme des yeux, que ces mots sont touchants !"
"Merveille des beautés, divin charme des yeux, que ces mots sont touchants !","Que j'en suis glorieux !"
"Que j'en suis glorieux !","Mais parmi tant de biens, que ma peine est extrême!"
"Sans passion, de grâce, il n'est pas de besoin, ni de vous emporter, ni de prendre ce soin.","Quoi qu'il puisse arriver, je vous serai fidèle."
"Quoi qu'il puisse arriver, je vous serai fidèle.","Tous les tourments offerts, la mort la plus cruelle ne détourneraient pas un si juste dessein."
"Tous les tourments offerts, la mort la plus cruelle ne détourneraient pas un si juste dessein.","À vous seul je réserve et mon coeur et ma main, je puis, sans m'offenser, avoir cette pensée, et ma vertu par là ne peut être blessée."
